symbol,period,item_code,item_name_tr,item_name_en,value
GARAN,2020/3,1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,8858895844
GARAN,2020/3,1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),964689357
GARAN,2020/3,1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),0
GARAN,2020/3,1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,0
GARAN,2020/3,1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,0
GARAN,2020/3,1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,0
GARAN,2020/3,1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,0
GARAN,2020/3,1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,964689357
GARAN,2020/3,1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,254274406
GARAN,2020/3,1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,8483324
GARAN,2020/3,1ABC,2.2.3 Krediler,2.2.3 Loans,0
GARAN,2020/3,1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,701931627
GARAN,2020/3,1AC,III. BANKALAR,III. BANKS,968370584
GARAN,2020/3,1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,198467675
GARAN,2020/3,1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,0
GARAN,2020/3,1ADB,4.2 İMKB Takasbank Piyasasından Alacaklar,4.2 Receivables From Istanbul Stock Exchange Money Market,0
GARAN,2020/3,1ADC,4.3 Ters Repo İşlemlerinden Alacaklar,4.3 Receivables From Reverse Repurchase Agreements,0
GARAN,2020/3,1AE,V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net),V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net),0
GARAN,2020/3,1AEA,5.1 Sermayede Payı Temsil Eden Menkul Değerler,5.1 Securities Representing Share in Equity,0
GARAN,2020/3,1AEB,5.2 Devlet Borçlanma Senetleri,5.2 Government Debt Securities,0
GARAN,2020/3,1AEC,5.3 Diğer Menkul Değerler,5.3 Other Marketable Securities,0
GARAN,2020/3,1AF,VI. KREDİLER,VI. LOANS,41027168123
GARAN,2020/3,1AFA,6.1 Krediler,6.1 Short Term,0
GARAN,2020/3,1AFB,6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler,6.1.1 Loans Granted To The Bank's Risk Group,0
GARAN,2020/3,1AFC,6.1.2 Diğer,6.1.2 Other,0
GARAN,2020/3,1AFD,6.2 Takipteki Krediler,6.3 Loans Under Follow-Up,0
GARAN,2020/3,1AFE,6.3 Özel Karşılıklar (-),6.4 Specific Provisions (-),0
GARAN,2020/3,1AG,VII. FAKTORİNG ALACAKLARI,VII. FACTORING RECEIVABLES,0
GARAN,2020/3,1AH,VIII. VADEYE KADAR ELDE TUTULACAK YATIRIMLAR (Net),VIII. HELD TO MATURITY INVESTMENT (Net),0
GARAN,2020/3,1AHA,8.1 Devlet Borçlanma Senetleri,8.1 Government Debt Securities,0
GARAN,2020/3,1AHB,8.2 Diğer Menkul Değerler,8.2 Other Marketable Securities,0
GARAN,2020/3,1AI,IX. İŞTİRAKLER (Net),IX. INVESTMENTS AND ASSOCIATES (Net),5861886
GARAN,2020/3,1AIA,9.1 Özkaynak Yöntemine Göre Muhasebeleştirilenler,9.1 Accounted With Equity Method,0
GARAN,2020/3,1AIB,9.2 Konsolide Edilmeyenler,9.2 Non-Consolidated Investments And Associates,5861886
GARAN,2020/3,1AIC,9.2.1 Mali İştirakler,9.2.1 Financial Investments And Associates,0
GARAN,2020/3,1AID,9.2.2 Mali Olmayan İştirakler,9.2.2 Non-Financial Investments And Associates,0
GARAN,2020/3,1AJ,X. BAĞLI ORTAKLIKLAR  (Net),X. SUBSIDIARIES (Net),1307821165
GARAN,2020/3,1AJA,10.1 Konsolide Edilmeyen Mali Ortaklıklar,10.1 Financial Subsidiaries,1292016258
GARAN,2020/3,1AJB,10.2 Konsolide Edilmeyen Mali Olmayan Ortaklıklar,10.2 Non-Financial Subsidiaries,15804908
GARAN,2020/3,1AK,XI. BİRLİKTE KONTROL EDİLEN ORTAKLIKLAR (İŞ ORTAKLIKLARI) (Net),XI. JOINT VENTURES (BUSINESS PARTNERS) (Net),0
GARAN,2020/3,1AKA,11.1 Özkaynak Yöntemine Göre Muhasebeleştirilenler,11.1 Accounted With Eequity Method,0
GARAN,2020/3,1AKB,11.2 Konsolide Edilmeyenler,11.2 Non-Consolidated Jointly Controlled Associates,0
GARAN,2020/3,1AKC,11.2.1 Mali Ortaklıklar,11.2.1 Financial Jointly Controlled Associates,0
GARAN,2020/3,1AKD,11.2.2 Mali Olmayan Ortaklıklar,11.2.2 Non-Financial Jointly Controlled Associates,0
GARAN,2020/3,1AL,XII. KİRALAMA İŞLEMLERİNDEN ALACAKLAR,XII. RECEIVABLES FROM LEASING TRANSACTIONS,0
GARAN,2020/3,1ALA,12.1 Finansal Kiralama Alacakları,12.1 Gross Finance Lease Receivables,0
GARAN,2020/3,1ALB,12.2 Faaliyet Kiralaması Alacakları,12.2 Operational Lease Receivables,0
GARAN,2020/3,1ALC,12.3 Diğer,12.3 Other,0
GARAN,2020/3,1ALD,12.4 Kazanılmamış Gelirler (-),12.4 Unearned Income (-),0
GARAN,2020/3,1AM,XIII. RİSKTEN KORUNMA AMAÇLI TÜREV FİNANSAL VARLIKLAR,XIII. DERIVATIVE FINANCIAL ASSETS FOR HEDGE PURPOSES,0
GARAN,2020/3,1AMA,13.1 Gerçeğe Uygun Değer Riskinden Korunma Amaçlılar,13.1 Hedging For Fair Value Risk,0
GARAN,2020/3,1AMB,13.2 Nakit Akış Riskinden Korunma Amaçlılar,13.2 Hedging For Cash Flow Risk,0
GARAN,2020/3,1AMC,13.3 Yurtdışındaki Net Yatırım Riskinden Korunma Amaçlılar,13.3 Hedging For Net Investments Risk in Abroad,0
GARAN,2020/3,1AN,XIV. MADDİ DURAN VARLIKLAR (Net),XIV. PROPERTY AND EQUIPMENT (Net),755227836
GARAN,2020/3,1AO,XV. MADDİ OLMAYAN DURAN VARLIKLAR (Net),XV. INTANGIBLE ASSETS (Net),58239459
GARAN,2020/3,1AOA,15.1 Şerefiye,17.1 Goodwill,0
GARAN,2020/3,1AOB,15.2 Diğer,17.2 Other,58239459
GARAN,2020/3,1AP,XVI. YATIRIM AMAÇLI GAYRİMENKULLER (Net),XVI. REAL ESTATES FOR INVESTMENT PURPOSE (Net),106835980
GARAN,2020/3,1AR,XVII. VERGİ VARLIĞI,XVII. TAX ASSETS,339925853
GARAN,2020/3,1ARA,17.1 Cari Vergi Varlığı,17.1 Current Tax Assets,0
GARAN,2020/3,1ARB,17.2 Ertelenmiş Vergi Varlığı,17.2 Deferred Tax Assets,339925853
GARAN,2020/3,1AS,XVIII. SATIŞ AMAÇLI  FAALİYETLERE İLİŞKİN DUV,XVIII. PROPERTY AND EQU. OPER.(Net),153983438
GARAN,2020/3,1ASA,18.1 Satış Amaçlı,18.1 Held For Sale Purpose,153983438
GARAN,2020/3,1ASB,18.2 Durdurulan Faaliyetlere İlişkin,18.2 Held From Terminated Operations,0
GARAN,2020/3,1AT,XIX. DİĞER AKTİFLER,XIX. OTHER ASSETS,2727402264
GARAN,2020/3,1Z,AKTİF TOPLAMI,TOTAL ASSETS,63422586340
GARAN,2020/3,2A,I. MEVDUAT,I. DEPOSITS,40522415559
GARAN,2020/3,2AA,1.1 Bankanın Dahil Olduğu Risk Grubunun Mevduatı,1.1 Deposits Held By The Bank's Risk Group,0
GARAN,2020/3,2AB,1.2 Diğer,1.2 Other,0
GARAN,2020/3,2B,II. ALIM SATIM AMAÇLI TÜREV FİNANSAL BORÇLAR,II. TRADING DERIVATIVE FINANCIAL LIABILITIES,0
GARAN,2020/3,2C,III. ALINAN KREDİLER,III. FUNDS BORROWED,4240412520
GARAN,2020/3,2D,IV. PARA PİYASALARINA BORÇLAR,IV. FUNDS FROM MONEY MARKET,124627213
GARAN,2020/3,2DA,4.1 Bankalararası Para Piyasalarına Borçlar,4.1 Interbank Money Market Payables,0
GARAN,2020/3,2DB,4.2 İMKB Takasbank Piyasasına Borçlar,4.2 Istanbul Stock Exchange Money Market Payables,0
GARAN,2020/3,2DC,4.3 Repo İşlemlerinden Sağlanan Fonlar,4.3 Funds Provided Under Repurchase Agreements,0
GARAN,2020/3,2E,V. İHRAÇ EDİLEN MENKUL KIYMETLER (Net),V. MARKETABLE SECURITIES ISSUED (Net),2569162501
GARAN,2020/3,2EA,5.1 Bonolar,5.1 Bills,642310871
GARAN,2020/3,2EB,5.2 Varlığa Dayalı Menkul Kıymetler,5.2 Asset Backed Securities,0
GARAN,2020/3,2EC,5.3 Tahviller,5.3 Bonds,1926851630
GARAN,2020/3,2F,VI. FONLAR,VI. FUNDS,0
GARAN,2020/3,2FA,6.1 Müstakriz Fonları,6.1 Borrower Funds,0
GARAN,2020/3,2FB,6.2 Diğer,6.2 Other,0
GARAN,2020/3,2G,VII. MUHTELİF BORÇLAR,VII. MISCELLANEOUS PAYABLES,0
GARAN,2020/3,2H,VIII. DİĞER YABANCI KAYNAKLAR,VIII. OTHER EXTERNAL RESOURCES,0
GARAN,2020/3,2I,IX. FAKTORİNG BORÇLARI,IX. FACTORING PAYABLES,0
GARAN,2020/3,2J,X. KİRALAMA İŞLEMLERİNDEN BORÇLAR,X. LEASING TRANSACTONS PAYABLES,162546988
GARAN,2020/3,2JA,10.1 Finansal Kiralama Borçları,10.1 Gross Financial Lease Payables,0
GARAN,2020/3,2JB,10.2 Faaliyet Kiralaması Borçları,10.2 Operational Financial Lease Payables,0
GARAN,2020/3,2JC,10.3 Diğer,10.3 Other,0
GARAN,2020/3,2JD,10.4 Ertelenmiş Finansal Kiralama Giderleri ( - ),10.4 Deferred Finance Leasing Expenses ( - ),0
GARAN,2020/3,2K,XI.  RİSKTEN KORUNMA AMAÇLI TÜREV FİNANSAL BORÇLAR,XI. DERIVATIVE FINANCIAL LIABILITIES FOR HEDGE PURPOSES,0
GARAN,2020/3,2KA,11.1 Gerçeğe Uygun Değer Riskinden Korunma Amaçlılar,11.1 Hedging For Fair Value Risk,0
GARAN,2020/3,2KB,11.2 Nakit Akış Riskinden Korunma Amaçlılar,11.2 Hedging For Cash Flow Risk,0
GARAN,2020/3,2KC,11.3 Yurtdışındaki Net Yatırım Riskinden Korunma Amaçlılar,11.3 Hedging For Net Investments Risk in Abroad,0
GARAN,2020/3,2L,XII.  KARŞILIKLAR,XII. PROVISIONS,937492821
GARAN,2020/3,2LA,12.1 Genel Karşılıklar,12.1 General Loan Loss Provision,0
GARAN,2020/3,2LB,12.2 Yeniden Yapılanma Karşılığı,12.2 Restructuring Provision,0
GARAN,2020/3,2LC,12.3 Çalışan Hakları Karşılığı,12.3 Provision For Employ Benefits,176433184
GARAN,2020/3,2LD,12.4 Sigorta Teknik Karşılıkları (Net),12.4 Insurance Technical Reserves (Net),0
GARAN,2020/3,2LE,12.5 Diğer Karşılıklar,12.5 Other Provisions,761059637
GARAN,2020/3,2M,XIII. VERGİ BORCU,XIII. TAX LIABILITIES,170759857
GARAN,2020/3,2MA,13.1 Cari Vergi Borcu,13.1 Current Tax Liabilities,170759857
GARAN,2020/3,2MB,13.2 Ertelenmiş Vergi Borcu,13.2 Deferred Tax Liabilities,0
GARAN,2020/3,2N,XIV. SATIŞ AMAÇLI ELDE TUTULAN  DUV  BORÇ.,,0
GARAN,2020/3,2NA,14.1 Satış Amaçlı,14.1 Held For Sale Purpose,0
GARAN,2020/3,2NB,14.2 Durdurulan Faaliyetlere İlişkin,14.2 Held From Terminated Operations,0
GARAN,2020/3,2NBA,XV.  SERMAYE BENZERİ KREDİLER,XV. SUBORDINATED LOANS,919377498
GARAN,2020/3,2O,XVI. ÖZKAYNAKLAR,XVI. SHAREHOLDERS' EQUITY,8337561042
GARAN,2020/3,2OA,16.1 Ödenmiş Sermaye,16.1 Paid-in Capital,638152397
GARAN,2020/3,2OB,16.2 Sermaye Yedekleri,16.2 Capital Reserves,119187723
GARAN,2020/3,2OC,16.2.1 Hisse Senedi İhraç Primleri,16.2.1 Share Premium,1805060
GARAN,2020/3,2OD,16.2.2 Hisse Senedi İptal Karları,16.2.2 Share Cancellation Profits,0
GARAN,2020/3,2OE,16.2.3 Menkul Değerler Değerleme Farkları,16.2.3 Valuation Changes Of Marketable Securities,0
GARAN,2020/3,2OF,16.2.4 Maddi Duran Varlıklar Yeniden Değerleme Farkları,16.2.4 Revaluation Changes Of Property And Equipment,0
GARAN,2020/3,2OG,16.2.5 Maddi Olmayan Duran Varlıklar Yeniden Değerleme Farkları,16.2.5 Revaluation Changes Of Intangible Assets,0
GARAN,2020/3,2OH,16.2.6 Yatırım Amaçlı Gayrimenkuller Yeniden Değerleme Farkları,16.2.6 Revaluation changes of real estates for investment purpose,0
GARAN,2020/3,2OI,16.2.7 İşt. Bağlı Ort. Bedelsiz Hisse Senetleri,,0
GARAN,2020/3,2OJ,16.2.8 Riskten Korunma Fonları (Etkin kısım),16.2.8 Hedge Funds,0
GARAN,2020/3,2OK,16.2.9 Satış Amaçlı Elde Tut. Dur. DUV Farkları,,0
GARAN,2020/3,2OL,16.2.10 Diğer Sermaye Yedekleri,16.2.6 Other Capital Reserves,117382664
GARAN,2020/3,2OM,16.3 Kar Yedekleri,16.3 Profit Reserves,5954202993
GARAN,2020/3,2ON,16.3.1 Yasal Yedekler,16.3.1 Legal Reserves,222650460
GARAN,2020/3,2OO,16.3.2 Statü Yedekleri,16.3.2 Status Reserves,0
